Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 10:59:00,1.20747,1.20759,1.2073200000000002,1.20739,317.8
2003.12.05 11:00:00,1.20738,1.2076,1.20736,1.20753,718.7
2003.12.05 11:01:00,1.20751,1.2078200000000001,1.20745,1.2076,651.0
2003.12.05 11:02:00,1.20786,1.20848,1.2077799999999999,1.20845,633.9
2003.12.05 11:03:00,1.2083700000000002,1.20851,1.20817,1.20822,656.1
2003.12.05 11:04:00,1.2081899999999999,1.2083899999999999,1.20814,1.20814,762.2
2003.12.05 11:05:00,1.20812,1.20828,1.20784,1.20784,670.9
2003.12.05 11:06:00,1.20825,1.2083899999999999,1.20787,1.20794,465.9
2003.12.05 11:07:00,1.20793,1.2081600000000001,1.2078799999999998,1.20802,486.5
2003.12.05 11:08:00,1.20787,1.2080600000000001,1.20781,1.20789,582.1
2003.12.05 11:09:00,1.20795,1.2080799999999998,1.20779,1.20792,453.7
2003.12.05 11:10:00,1.20812,1.20825,1.2079600000000001,1.2079799999999998,500.8
2003.12.05 11:11:00,1.2079,1.20858,1.2079,1.20858,291.9
2003.12.05 11:12:00,1.20842,1.2085299999999999,1.2081600000000001,1.20833,508.8
2003.12.05 11:13:00,1.20835,1.2084700000000002,1.2082,1.2083,441.8
2003.12.05 11:14:00,1.2082,1.2082899999999999,1.20807,1.20814,410.4
2003.12.05 11:15:00,1.20836,1.2085299999999999,1.20803,1.20805,782.0
